Ticker,1977-1983 hrp,1977-1983 max_sharpe,1977-1983 min_volatility,1977-1983 target_return,2000-2004 hrp,2000-2004 max_sharpe,2000-2004 min_volatility,2000-2004 target_return,2007-2011 hrp,2007-2011 max_sharpe,2007-2011 min_volatility,2007-2011 target_return,2021-2023 hrp,2021-2023 max_sharpe,2021-2023 min_volatility,2021-2023 target_return
JELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001631150153938786,1.0519e-12,1.85197e-11,1.80276e-11
FERG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006849304777472875,4.4931e-12,1.13083e-10,1.142271e-10
WSO,0.0,0.0,0.0,0.0,0.0016333158908002263,1.518088e-10,4.047071e-10,1.049356e-10,0.0012524077855262483,7.8796e-12,1.337181e-10,3.14599e-11,0.0005158609049473613,5.0782e-12,5.33006e-11,6.8306e-11
AZEK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001833216028008726,1.2823e-12,1.81441e-11,1.96641e-11
ETD,0.0,0.0,0.0,0.0,0.0005000970213416856,8.14156e-11,9.00222e-11,2.40684e-11,0.0005634468516428741,3.6959e-12,4.5611e-11,1.01881e-11,0.0005826860514493173,3.1311e-12,4.1879e-11,5.38111e-11
PRLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005396974288406672,8.541e-13,8.15645e-11,3.35492e-11
ABEV,0.0,0.0,0.0,0.0,0.004520972529940436,0.0165762768175151,0.0164446096458121,0.0164446320134276,0.0008135083418198957,9.2507e-12,3.02624e-11,9.0281e-12,0.001394279461859323,3.108e-12,6.900058e-10,1.431311e-10
AORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009953045873991072,2.6345e-12,3.30198e-11,7.1383e-12,0.0006855872348742057,1.4642e-12,3.40194e-11,3.12238e-11
MAS,0.0,0.0,0.0,0.0,0.0007040160528349426,7.6814e-11,1.242977e-10,3.31343e-11,0.00045470707014856485,2.9124e-12,2.67625e-11,6.4008e-12,0.0005252192095180998,2.8474e-12,5.95223e-11,5.87155e-11
IQV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005242126233878433,2.6362e-12,4.1085e-11,4.29313e-11
NX,0.0,0.0,0.0,0.0,0.001724702969730796,4.704951e-10,1.56429e-10,4.18443e-11,0.0008079633413263822,2.5061e-12,2.3345e-11,5.2958e-12,0.00032927578192408486,2.5958e-12,2.81781e-11,3.23873e-11
CPK,0.0,0.0,0.0,0.0,0.0322902909108594,0.0008305518358924,0.0322017811742317,0.0322018737100484,0.0012421005706347655,8.6456e-12,9.663e-11,2.39421e-11,0.0015191772468136921,5.6066e-12,4.760845e-10,3.506339e-10
DAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033304712082289226,5.2181e-12,2.415423e-10,3.0377e-11,0.0003174965251225431,1.639e-12,3.43547e-11,3.03346e-11
ATGE,0.0,0.0,0.0,0.0,0.0016148089823549959,5.79034e-11,2.463052e-10,6.45632e-11,0.002294244727693901,2.20643e-11,5.824541e-10,5.40018920016e-05,0.0007814392528039663,1.71151e-11,0.0026078264833841,0.0045445222642054
NJR,0.0,0.0,0.0,0.0,0.0016574820088498387,1.892718e-10,0.000646441178197,0.0006462405790882,0.0017597588424681904,1.38308e-11,1.4028776e-09,4.226305e-10,0.0012320083692996429,1.34115e-11,4.610193e-10,8.989697e-10
GCO,0.0,0.0,0.0,0.0,0.0007557944764723074,5.89355e-11,1.207478e-10,3.19514e-11,0.0009920855252949408,4.8066e-12,8.36617e-11,1.54936e-11,0.0001536895669259107,1.3101e-12,2.6772e-11,2.6848e-11
BIPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002342915781469812,2.7397e-12,0.0002555733855646,1.509602e-10
EW,0.0,0.0,0.0,0.0,0.0031129881736985327,2.136201e-10,1.3052846e-09,3.140385e-10,0.00563093980861133,0.1499999999365477,0.0090186424031618,0.0337993282145679,0.0005714804949620146,2.1727e-12,6.24896e-11,6.3039e-11
GOTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023434549979546468,1.8545e-12,2.38354e-11,2.70279e-11
NWN,0.10257150279054376,3.506338e-10,0.1323247110600669,0.132324804794674,0.0012583877012840047,2.065317e-10,0.0023121137375227,0.0023119712546537,0.0016119800665893489,1.01976e-11,0.0271837560390125,0.0158498372234221,0.0013988977491671691,5.1639e-12,0.016427373930357,0.0095917903867487
PGTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002747248226862601,4.5001e-12,4.14955e-11,6.11005e-11
NAPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011147244551608356,1.6006e-12,7.0711e-11,5.06203e-11
